Symbol,Name,Sector,Industry,Market_Cap,PE_Ratio,Forward_PE,PB_Ratio,ROE,ROA,Debt_to_Equity,Current_Ratio,Profit_Margin,Operating_Margin,Revenue,Beta,52W_High,52W_Low,Avg_Volume
AAPL,Apple Inc.,Technology,Consumer Electronics,4075319197696,36.76171,30.131758,55.021034,1.7142199,0.22964,152.411,0.893,0.26915002,0.31647,416161005568,1.107,288.62,169.21,48896809
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3541086240768,33.90676,25.435167,9.754095,0.32241002,0.14656,33.154,1.401,0.35707,0.48873,293812011008,1.07,555.45,344.79,22695735
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3713213399040,30.29348,27.421362,9.570443,0.3545,0.16275999,11.424,1.747,0.32233003,0.30512,385476001792,1.07,328.83,140.53,36443306
NVDA,NVIDIA Corporation,Technology,Semiconductors,4326949126144,44.099255,23.850903,36.328697,1.07359,0.53528,9.102,4.468,0.53007,0.63168997,187141996544,2.284,212.19,86.62,192038454
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1656364728320,29.064573,21.817455,8.536633,0.32643002,0.18013,26.311,1.978,0.30892,0.40075,189458006016,1.273,796.25,479.8,17943472
ADBE,Adobe Inc.,Technology,Software - Application,147574947840,20.831736,13.213364,12.481256,0.55426,0.18221001,57.197,0.996,0.29997,0.36503,23768999936,1.54,465.7,311.59,4121908
CRM,"Salesforce, Inc.",Technology,Software - Application,242674319360,34.03338,19.445745,4.0006595,0.12184,0.059499998,19.385,0.984,0.17913,0.23862,40317001728,1.253,367.09,221.96,8597998
INTC,Intel Corporation,Technology,Semiconductors,177968709632,621.8334,62.20407,1.6715951,0.0018600001,-0.00463,39.881,1.602,0.0037099998,0.06284,53439000576,1.344,44.02,17.67,117149814
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,867684777984,15.621286,14.88999,2.5252686,0.16437,0.01323,,,0.347,0.43708,167228997632,1.075,322.88,202.16,8723832
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,405974777856,14.9754095,12.517072,1.4442308,0.09871,0.00881,,,0.29224002,0.35292998,101445001216,1.304,56.07,33.07,35807577
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,295325237248,15.187809,13.284379,1.7642668,0.115200005,0.01064,,,0.26629,0.33717,79072002048,1.108,94.26,58.42,14887637
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,266137255936,17.858013,15.981225,2.5261552,0.13532,0.009430001,586.142,1.657,0.29073998,0.37203997,57336999936,1.348,919.1,439.38,2056238
MS,Morgan Stanley,Financial Services,Capital Markets,281769213952,18.122177,16.772299,2.8025022,0.15135,0.01245,420.553,2.266,0.23606001,0.38872,68531998720,1.215,181.98,94.33,5725635
V,Visa Inc.,Financial Services,Credit Services,666026770432,33.7681,23.921268,17.805695,0.52068,0.17261,68.807,1.078,0.50145,0.6575,40000000000,0.822,375.51,299.0,6408774
MA,Mastercard Incorporated,Financial Services,Credit Services,511688802304,36.236877,29.62573,64.45963,1.8486099,0.23048,239.715,1.122,0.45275003,0.598,31473999872,0.868,601.77,465.59,2814309
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,504265474048,20.202703,18.153292,6.3526273,0.33619,0.08264,57.766,1.074,0.27259,0.30200002,92148998144,0.349,215.19,140.68,8967672
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,302731264000,17.4244,18.809668,3.1610312,0.17476,0.05361,75.734,0.823,0.04042,0.03813,435159007232,0.432,606.36,234.6,8304893
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,145156128768,14.843023,8.411003,1.5642425,0.105979994,0.05189,66.531,1.282,0.15654999,0.35277,62784999424,0.42,27.69,20.92,68517825
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,395310891008,169.44696,15.689688,-149.61205,1.37961,0.09585,,0.725,0.04004,0.35497,59643998208,0.349,244.81,164.39,6003938
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,214213705728,32.900173,23.132286,4.1987743,0.13116999,0.04942,69.75,1.498,0.15022,0.19277,43735998464,0.902,610.97,385.46,2039037
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,245457158144,12.998677,11.641902,4.71432,0.39485002,0.13755,79.708,1.661,0.29632,0.40802,64234999808,0.299,105.84,73.31,13598535
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2379214487552,31.435028,28.373604,6.4347873,0.24327,0.07495,43.405,1.009,0.11063,0.11057,691330023424,1.372,258.6,161.38,48415285
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,920226496512,40.356644,38.7179,9.575245,0.23661,0.06539,66.747,0.803,0.03259,0.0373,703060967424,0.641,117.45,79.81,18087798
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,351096995840,24.0409,23.243523,28.962797,1.62909,0.13226,544.586,1.051,0.087740004,0.12945,166189006848,1.051,426.75,326.31,3884738
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,99216875520,34.420513,26.947382,7.3612638,0.21122,0.05685,82.128,2.19,0.062340003,0.0791,46440001536,1.291,82.44,52.28,15396011
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,381943480320,46.08409,38.790066,12.604231,0.30325,0.08524,26.737,1.038,0.02961,0.03659,280390991872,0.982,1078.23,844.06,2646882
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,224428589056,26.811596,23.783974,-103.556145,,0.12968999,,1.0,0.3204,0.46905997,26264000512,0.521,326.32,276.53,3191301
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,96744472576,52.19632,28.253672,-11.946082,,0.07266,,0.723,0.04992,0.10976,37184401408,0.977,117.46,75.5,9903943
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,488909176832,16.668604,15.865374,1.8560839,0.11424,0.05108,15.672,1.137,0.091809995,0.11057,326244990976,0.379,120.81,97.8,14878124
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,295675199488,20.669014,19.20525,1.5564678,0.07316,0.04047,21.239,1.152,0.06767,0.098529994,188687007744,0.673,168.96,132.04,7789759
COP,ConocoPhillips,Energy,Oil & Gas E&P,113366491136,12.8206215,14.553937,1.7276689,0.15421,0.080979995,36.169,1.323,0.14445,0.19543,61280002048,0.328,106.2,79.88,6802340
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,55571210240,10.107249,9.636979,1.8275187,0.18476999,0.09086,26.835,1.624,0.24410999,0.33223,22653999104,0.504,138.18,101.69,4055362
BA,The Boeing Company,Industrials,Aerospace & Defense,161868660736,,87.40159,-19.02006,,-0.035099998,,1.182,-0.12197,-0.204,80756998144,1.175,242.69,128.88,8844556
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,275901284352,30.217035,26.413338,13.341413,0.46283,0.08201,201.046,1.384,0.14339,0.17746,64670998528,1.563,627.5,267.3,2910909
GE,GE Aerospace,Industrials,Aerospace & Defense,316785065984,39.99063,41.450844,16.75059,0.42131,0.049289998,115.246,1.077,0.18344,0.20598,43949998080,1.405,316.67,159.36,4212145
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,84931878912,15.472953,13.974485,5.365239,0.33618,0.07118,184.32,1.305,0.061490003,0.10175,89483001856,1.094,136.99,82.0,7406848
